FECHA;FECHAAPERTURA;TARJETA;CORREDOR;LINEA;SENTIDO
27/01/2019 12:06:41 AM;27/01/2019 12:02:50 AM;4917488;Cor 1 Naranja;L16;Vuelta
27/01/2019 12:06:42 AM;26/01/2019 10:15:09 PM;5745538;Cor 1 Naranja;L10;Vuelta
27/01/2019 12:06:45 AM;26/01/2019 10:15:09 PM;5745538;Cor 1 Naranja;L10;Vuelta
27/01/2019 12:06:46 AM;26/01/2019 11:57:45 PM;8007245;Cor 4 Amarillo;L43;Ida
27/01/2019 12:06:46 AM;26/01/2019 10:05:25 PM;5281830;Cor 1 Naranja;L14;Vuelta
27/01/2019 12:06:47 AM;26/01/2019 10:05:25 PM;5281830;Cor 1 Naranja;L14;Vuelta
27/01/2019 12:06:49 AM;26/01/2019 10:15:09 PM;3062019;Cor 1 Naranja;L10;Vuelta
27/01/2019 12:06:49 AM;26/01/2019 11:56:14 PM;6040161;Cor 2 Azul;L27;Ida
27/01/2019 12:06:51 AM;26/01/2019 11:32:03 PM;8075948;Cor 3 Rojo;L36;Ida
27/01/2019 12:06:54 AM;26/01/2019 10:36:43 PM;3385947;Cor 2 Azul;L22;Vuelta
27/01/2019 12:06:54 AM;26/01/2019 11:16:38 PM;4104063;Cor 6 Naranja;L68;Vuelta
27/01/2019 12:07:00 AM;26/01/2019 11:56:24 PM;5714315;Cor 1 Naranja;L10;Ida
27/01/2019 12:07:02 AM;26/01/2019 10:04:12 PM;3822419;Cor 1 Naranja;L10;Vuelta
27/01/2019 12:07:09 AM;26/01/2019 10:36:43 PM;3681104;Cor 2 Azul;L22;Vuelta
27/01/2019 12:07:09 AM;26/01/2019 11:17:56 PM;5633549;Cor 7 Azul;L75;Vuelta
27/01/2019 12:07:10 AM;27/01/2019 12:04:12 AM;3667513;Cor 8 Rojo;L83;Ida
27/01/2019 12:07:10 AM;26/01/2019 11:53:10 PM;2283808;Cor 2 Azul;L24;Ida
27/01/2019 12:07:12 AM;26/01/2019 10:04:12 PM;4393487;Cor 1 Naranja;L10;Vuelta
27/01/2019 12:07:12 AM;26/01/2019 11:53:10 PM;2283808;Cor 2 Azul;L24;Ida
27/01/2019 12:07:12 AM;27/01/2019 12:04:12 AM;4939506;Cor 8 Rojo;L83;Ida
27/01/2019 12:07:17 AM;26/01/2019 10:28:10 PM;6020077;Cor 7 Azul;L70;Vuelta
27/01/2019 12:07:18 AM;26/01/2019 10:48:57 PM;3388812;Cor 7 Azul;L74;Vuelta
27/01/2019 12:07:26 AM;27/01/2019 12:05:37 AM;4670688;Cor 1 Naranja;L12;Ida
27/01/2019 12:07:27 AM;27/01/2019 12:05:37 AM;4670688;Cor 1 Naranja;L12;Ida
27/01/2019 12:07:27 AM;26/01/2019 11:06:38 PM;6007446;Cor 4 Amarillo;L41;Vuelta
27/01/2019 12:07:31 AM;26/01/2019 09:53:45 PM;3797350;Cor 1 Naranja;L13;Vuelta
27/01/2019 12:07:33 AM;26/01/2019 11:48:17 PM;5699923;Cor 5 Amarillo;L45;Ida
27/01/2019 12:07:37 AM;26/01/2019 10:37:13 PM;4663845;Cor 2 Azul;L25;Vuelta
27/01/2019 12:07:40 AM;26/01/2019 10:37:13 PM;4663845;Cor 2 Azul;L25;Vuelta
27/01/2019 12:07:47 AM;26/01/2019 10:41:48 PM;5075144;Cor 2 Azul;L23;Vuelta
27/01/2019 12:07:47 AM;26/01/2019 11:17:56 PM;5473725;Cor 7 Azul;L75;Vuelta
27/01/2019 12:07:48 AM;26/01/2019 11:10:11 PM;6068327;Cor 1 Naranja;L15;Ida
27/01/2019 12:07:48 AM;26/01/2019 11:29:08 PM;3456689;Cor 3 Rojo;L35;Ida
27/01/2019 12:07:49 AM;26/01/2019 11:17:56 PM;5473725;Cor 7 Azul;L75;Vuelta
